dataset,study,name,architecture_name,conv_channels,dropout_value,dropout_position,batch_norm,activation_function,optimizer,learning_rate,batch_size,epochs,selected_epoch,training_time_seconds,selected_train_accuracy,selected_train_loss,selected_validation_accuracy,selected_validation_loss,best_validation_accuracy,lowest_validation_loss,final_training_accuracy,final_training_loss,notes
image,dropout,dropout_classifier_0.3,B_deeper_dropout,"[16, 32, 64]",0.3,classifier,False,relu,adam,0.001,32,3,3,58.95544791221619,0.8869638706951194,0.2812610194795408,0.9121621621621622,0.24782959069754626,0.9121621621621622,0.24782959069754626,0.8869638706951194,0.2812610194795408,One dropout layer before the classifier
image,architecture,architecture_A_small_baseline,A_small_baseline,"[16, 32]",0.0,classifier,False,relu,adam,0.001,32,3,3,58.01927399635315,0.8797802662159308,0.2802164479035443,0.8902027027027027,0.2651487548609038,0.8902027027027027,0.2651487548609038,0.8797802662159308,0.2802164479035443,Two convolution blocks
image,dropout,dropout_classifier_0.5,B_deeper_dropout,"[16, 32, 64]",0.5,classifier,False,relu,adam,0.001,32,3,3,52.93518018722534,0.8880202831185294,0.28086970422551516,0.902027027027027,0.266558251670889,0.902027027027027,0.266558251670889,0.8880202831185294,0.28086970422551516,One dropout layer before the classifier
image,optimizer,optimizer_adam,C_batchnorm_dropout,"[16, 32, 64]",0.3,classifier,True,relu,adam,0.001,32,3,3,58.12615776062012,0.8664694696809635,0.3888360597027953,0.9054054054054054,0.26955603667207667,0.9054054054054054,0.26955603667207667,0.8664694696809635,0.3888360597027953,Optimizer comparison
image,architecture,architecture_B_deeper_dropout,B_deeper_dropout,"[16, 32, 64]",0.3,classifier,False,relu,adam,0.001,32,3,3,57.92721891403198,0.882526938516797,0.2862202393537643,0.8918918918918919,0.2730127746188963,0.8918918918918919,0.2730127746188963,0.882526938516797,0.2862202393537643,Three convolution blocks with dropout
image,dropout,dropout_none,B_deeper_dropout,"[16, 32, 64]",0.0,classifier,False,relu,adam,0.001,32,3,3,59.647708892822266,0.8747094865835622,0.3026574310674845,0.8902027027027027,0.28582265973091125,0.8902027027027027,0.28582265973091125,0.8747094865835622,0.3026574310674845,No dropout
image,learning_rate,learning_rate_0.0001,C_batchnorm_dropout,"[16, 32, 64]",0.3,classifier,True,relu,adam,0.0001,32,3,3,59.1123149394989,0.8761884639763363,0.2975722377808533,0.8902027027027027,0.2899744977822175,0.8902027027027027,0.2899744977822175,0.8761884639763363,0.2975722377808533,Learning rate comparison
image,batch_norm,batchnorm_off,B_deeper_dropout,"[16, 32, 64]",0.3,classifier,False,relu,adam,0.001,32,3,3,55.36288499832153,0.8770335939150644,0.2997836844754375,0.8581081081081081,0.29240512364619486,0.8699324324324325,0.29240512364619486,0.8770335939150644,0.2997836844754375,Same architecture without batch norm
image,learning_rate,learning_rate_0.001,C_batchnorm_dropout,"[16, 32, 64]",0.3,classifier,True,relu,adam,0.001,32,3,2,59.02720308303833,0.8504120008451299,0.45404930765070173,0.8885135135135135,0.3092657392089431,0.8885135135135135,0.3092657392089431,0.8605535601098669,0.4704152119227703,Learning rate comparison
image,batch_norm,batchnorm_on,C_batchnorm_dropout,"[16, 32, 64]",0.3,classifier,True,relu,adam,0.001,32,3,1,57.27014398574829,0.7939995774350307,0.7158553795446283,0.8952702702702703,0.3289531461290411,0.8952702702702703,0.3289531461290411,0.8497781533910839,0.5202982070933128,Same architecture with batch norm
image,activation,activation_relu,C_batchnorm_dropout,"[16, 32, 64]",0.3,classifier,True,relu,adam,0.001,32,3,3,57.505581855773926,0.8605535601098669,0.3939940587501558,0.8783783783783784,0.3560909073095064,0.8783783783783784,0.3560909073095064,0.8605535601098669,0.3939940587501558,Activation function comparison
image,dropout,dropout_conv_and_classifier_0.3,B_deeper_dropout,"[16, 32, 64]",0.3,conv_and_classifier,False,relu,adam,0.001,32,3,3,56.87045478820801,0.8208324529896471,0.42951497847374515,0.856418918918919,0.36535476027308283,0.856418918918919,0.36535476027308283,0.8208324529896471,0.42951497847374515,Dropout after each convolution block and before classifier
image,architecture,architecture_C_batchnorm_dropout,C_batchnorm_dropout,"[16, 32, 64]",0.3,classifier,True,relu,adam,0.001,32,3,2,60.85318899154663,0.8548489330234523,0.38669308461524354,0.8902027027027027,0.37088387399106415,0.8902027027027027,0.37088387399106415,0.873230509190788,0.35618155775483507,Three convolution blocks with batch norm and dropout
image,activation,activation_elu,C_batchnorm_dropout,"[16, 32, 64]",0.3,classifier,True,elu,adam,0.001,32,3,2,58.121337890625,0.8221001478977393,0.5962871025461438,0.8226351351351351,0.5083940846694482,0.8226351351351351,0.5083940846694482,0.8428058313965773,0.5854765137607543,Activation function comparison
image,optimizer,optimizer_rmsprop,C_batchnorm_dropout,"[16, 32, 64]",0.3,classifier,True,relu,rmsprop,0.001,32,3,2,59.17093801498413,0.8242129727445595,0.9964607074123192,0.8766891891891891,0.7429012720649307,0.8766891891891891,0.7429012720649307,0.8381576167335728,0.8116320342788882,Optimizer comparison
